group	n	run_successes	mean_duration_s	mean_peer_messages	verified_transfers	state_losses	state_recoveries	terminal_mismatches	top_phenomena
2a_d0	20	16	443.2	2.15	0	96	74	0	"[[""whole_task_commitment_overlap"",20],[""inventory_induced_implicit_specialization"",18],[""quiet_action_complementarity"",13],[""correct_world_state_loss"",9],[""correct_state_restoration"",9],[""late_dependency_disclosure"",6]]"
2a_d11	20	1	702.8	1.05	0	130	70	0	"[[""whole_task_commitment_overlap"",19],[""inventory_induced_implicit_specialization"",19],[""correct_world_state_loss"",17],[""quiet_action_complementarity"",16],[""unrepaired_correct_state_loss"",16],[""balanced_parallel_execution"",9]]"
2a_d22	20	2	715.6	4.3	0	208	131	0	"[[""whole_task_commitment_overlap"",18],[""inventory_induced_implicit_specialization"",18],[""correct_world_state_loss"",15],[""quiet_action_complementarity"",13],[""unrepaired_correct_state_loss"",12],[""balanced_parallel_execution"",11]]"
2a_d33	20	1	709.6	1.15	0	21	9	0	"[[""inventory_induced_implicit_specialization"",16],[""whole_task_commitment_overlap"",15],[""quiet_action_complementarity"",14],[""correct_world_state_loss"",12],[""unrepaired_correct_state_loss"",9],[""balanced_parallel_execution"",9]]"
3a_d22	20	1	705.4	2.65	0	300	82	0	"[[""balanced_parallel_execution"",18],[""correct_world_state_loss"",14],[""unrepaired_correct_state_loss"",14],[""whole_task_commitment_overlap"",14],[""inventory_induced_implicit_specialization"",13],[""quiet_action_complementarity"",9]]"
h1_pickaxe_split	25	21	125.3	6.8	18	0	0	1	"[[""verified_handoff_to_completion"",11],[""self_contained_task_capture"",7],[""unknown"",5],[""late_dependency_disclosure"",3],[""resource_search_displacement"",2],[""handoff_failure_then_repair"",1]]"
h2_shears_roles	25	17	226.0	6.16	17	0	0	0	"[[""verified_handoff_to_completion"",16],[""late_dependency_disclosure"",6],[""resource_search_displacement"",5],[""unknown"",3],[""unanswered_request_loop"",1],[""self_contained_task_capture"",1]]"
e1_pickaxe_equal	25	21	131.5	4.32	0	0	0	4	"[[""unknown"",13],[""self_contained_task_capture"",9],[""terminal_detector_process_mismatch"",4],[""parallel_target_overproduction"",3],[""shared_infrastructure_support"",2]]"
e2_terracotta_equal	25	24	105.3	12.64	31	0	0	1	"[[""self_contained_task_capture"",10],[""verified_handoff_to_completion"",10],[""role_reassignment_after_execution_failure"",7],[""unknown"",5],[""shared_infrastructure_support"",1],[""handoff_failure_then_repair"",1]]"
